,Rating,Helpful Votes,Total Reviews
0,2.0 out of 5 stars,975,135
1,5.0 out of 5 stars,303,41
2,5.0 out of 5 stars,128,7
3,5.0 out of 5 stars,213,78
4,5.0 out of 5 stars,65,22
5,5.0 out of 5 stars,284,236
6,4.0 out of 5 stars,53,29
7,4.0 out of 5 stars,37,4
8,5.0 out of 5 stars,47,5
9,3.0 out of 5 stars,983,53
10,1.0 out of 5 stars,46,16
11,5.0 out of 5 stars,360,265
12,5.0 out of 5 stars,338,24
13,5.0 out of 5 stars,45,32
14,5.0 out of 5 stars,55,25
15,5.0 out of 5 stars,23,37
16,2.0 out of 5 stars,3,5
17,5.0 out of 5 stars,58,156
18,3.0 out of 5 stars,51,35
19,4.0 out of 5 stars,71,37
20,5.0 out of 5 stars,71,5
21,3.0 out of 5 stars,10,22
22,5.0 out of 5 stars,10,1
23,5.0 out of 5 stars,195,78
24,5.0 out of 5 stars,5,11
25,5.0 out of 5 stars,36,13
26,5.0 out of 5 stars,7,10
27,4.0 out of 5 stars,404,57
28,5.0 out of 5 stars,303,156
29,3.0 out of 5 stars,62,7
30,5.0 out of 5 stars,339,167
31,5.0 out of 5 stars,164,56
32,3.0 out of 5 stars,21,36
33,5.0 out of 5 stars,1,5
34,1.0 out of 5 stars,27,17
35,5.0 out of 5 stars,15,44
36,4.0 out of 5 stars,2,8
37,5.0 out of 5 stars,73,9
38,5.0 out of 5 stars,22,40
39,5.0 out of 5 stars,7,13
40,4.0 out of 5 stars,7,3
41,5.0 out of 5 stars,7,1
42,5.0 out of 5 stars,38,42
43,5.0 out of 5 stars,8,28
44,1.0 out of 5 stars,2,3
45,5.0 out of 5 stars,24,36
46,5.0 out of 5 stars,6,59
47,5.0 out of 5 stars,5,12
48,1.0 out of 5 stars,8,14
49,5.0 out of 5 stars,29,45
